Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,RottenTomatoesID
7-Jun-13,The Purge,Universal,Horror,Original Screenplay,Live Action,Science Fiction,3000000,64473115,72641292,91266581,m/the_purge
28-Jan-13,Last Vegas,CBS Films,Comedy,Original Screenplay,Live Action,Contemporary Fiction,28000000,63914167,72007099,112914167,m/last_vegas_2013
1-Nov-13,Ender's Game,Lionsgate,Adventure,Based on Fiction Book/Short Story,Live Action,Science Fiction,110000000,61737191,69558301,127983283,m/enders-game
20-Sep-13,Prisoners,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,46000000,61002302,68730759,113361720,m/prisoners_2013
31-May-13,After Earth,Sony Pictures,Action,Original Screenplay,Live Action,Science Fiction,130000000,60522097,68189715,251499665,m/after_earth
25-Dec-13,The Secret Life of Walter Mitty,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,91000000,58236838,65544508,187861183,m/secret_life_of_walter_mitty
15-Feb-13,Escape From Planet Earth,Weinstein Co.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,40000000,57012977,64236021,74156610,m/escape_from_planet_earth_2013
18-Oct-13,12 Years a Slave,Fox Searchlight,Drama,Based on Factual Book/Article,Live Action,Historical Fiction,20000000,56671993,63751429,180765061,m/12_years_a_slave
1-Nov-13,Free Birds,Relativity,Adventure,Original Screenplay,Digital Animation,Kids Fiction,55000000,55750480,62808856,110387072,m/free_birds_2013
10-May-19,Pokémon: Detective Pikachu,Warner Bros.,Adventure,Based on Game,Animation/Live Action,Kids Fiction,150000000,144105346,144105349,431482976,m/pokemon_detective_pikachu
5-Apr-13,Evil Dead,Sony Pictures,Horror,Remake,Live Action,Fantasy,17000000,54239856,61111572,99041947,m/the_evil_dead_2013
19-Jul-13,RED 2,Lionsgate,Action,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,84000000,53262560,60010458,141507355,m/red_2
13-Dec-13,Tyler Perry's A Madea Christmas,Lionsgate,Comedy,Based on Play,Live Action,Contemporary Fiction,25000000,52543354,59187349,52543354,m/tyler_perrys_a_madea_christmas_2013
24-Mar-17,Power Rangers,Lionsgate,Action,Based on TV,Animation/Live Action,Kids Fiction,120000000,85364450,87172615,142531552,m/sabans_power_rangers
15-Mar-13,The Call,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,12800000,51872378,58444153,69821476,m/the_call_2013
26-Apr-13,Pain & Gain,Paramount Pictures,Action,Based on Real Life Events,Live Action,Contemporary Fiction,26000000,49875291,56194054,81275291,m/pain_and_gain
11-Jan-13,Gangster Squad,Warner Bros.,Action,Based on Factual Book/Article,Live Action,Dramatization,60000000,46000903,51828810,104100903,m/gangster_squad_2012
7-Jun-13,The Internship,20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,58000000,44672764,50332405,93672764,m/the_internship_2013
28-May-10,Prince of Persia: Sands of Time,Walt Disney,Action,Based on Game,Live Action,Fantasy,200000000,90759676,105368643,336359676,m/prince_of_persia_sands_of_time
22-Feb-13,Snitch,Lionsgate,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,15000000,42930462,48369371,57907734,m/snitch_2013
6-Sep-13,Riddick,Universal,Action,Original Screenplay,Live Action,Science Fiction,38000000,42025135,47349350,94763758,m/riddick
11-Jan-13,A Haunted House,Open Road,Comedy,Original Screenplay,Live Action,Contemporary Fiction,2500000,40041683,45114612,59922558,m/a_haunted_house
25-Dec-13,47 Ronin,Universal,Action,Original Screenplay,Live Action,Fantasy,175000000,38362475,43191351,151716815,m/47_ronin_2013
25-Dec-13,August: Osage County,Weinstein Co.,Black Comedy,Based on Play,Live Action,Contemporary Fiction,25000000,37738810,42314455,50738810,m/august_osage_county
22-Nov-13,Philomena,Weinstein Co.,Drama,Based on Factual Book/Article,Live Action,Contemporary Fiction,12000000,37709979,42387524,98963392,m/philomena
13-Sep-13,The Family,Relativity,Black Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,30000000,36918811,41596091,80588942,m/the_family_2013
20-Dec-13,Walking with Dinosaurs,20th Century Fox,Adventure,Based on TV,Animation/Live Action,Kids Fiction,80000000,36076121,40620542,123368842,m/walking_with_dinosaurs_3d
18-Oct-13,Carrie,Sony Pictures,Horror,Remake,Live Action,Fantasy,30000000,35266619,39734587,82409520,m/1003625-carrie
12-Apr-13,Scary Movie V,Weinstein Co.,Comedy,Original Screenplay,Live Action,Fantasy,20000000,32015787,36071906,78613981,m/scary_movie_5
19-Jul-13,R.I.P.D.,Universal,Action,Based on Comic/Graphic Novel,Live Action,Science Fiction,130000000,33618855,37878066,79076678,m/ripd
26-Jul-13,Blue Jasmine,Sony Pictures Classics,Comedy,Original Screenplay,Live Action,Contemporary Fiction,18000000,33404871,37633329,102912961,m/blue_jasmine
3-Jul-13,Kevin Hart: Let Me Explain,Lionsgate,Concert/Performance,Based on Real Life Events,Live Action,Factual,2500000,32244051,36329082,32327255,m/kevin_hart_let_me_explain
8-Feb-13,Side Effects,Open Road,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,30000000,32172757,36248758,66742138,m/side_effects
14-Dec-18,Spider-Man: Into The Spider-Verse 3D,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Super Hero,90000000,190173195,190908525,375654619,m/spider_man_into_the_spider_verse
21-Aug-13,The Mortal Instruments: City of Bones,Sony Pictures,Adventure,Based on Fiction Book/Short Story,Live Action,Fantasy,60000000,31165421,35113807,75965567,m/the_mortal_instruments_city_of_bones
