Released,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office
1-Apr-11,Source Code,Summit Entertainment,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$32,000,000 ","$54,712,227 ","$63,198,486 ","$140,428,499 "
9-Dec-11,New Year’s Eve,Warner Bros.,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$26,000,000 ","$54,544,638 ","$62,973,177 ","$146,850,273 "
1-Apr-11,Insidious,FilmDistrict,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$1,500,000 ","$54,009,150 ","$62,386,351 ","$99,870,886 "
22-Apr-11,Madea’s Big Happy Family,Lionsgate,Comedy,Based on Play,Live Action,Contemporary Fiction,"$25,000,000 ","$53,345,287 ","$61,619,522 ","$54,160,818 "
25-Mar-11,Diary of a Wimpy Kid: Rodrick Rules,20th Century Fox,Adventure,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$18,000,000 ","$52,698,535 ","$60,872,459 ","$73,695,194 "
14-Oct-11,Footloose,Paramount Pictures,Musical,Remake,Live Action,Contemporary Fiction,"$24,000,000 ","$51,802,742 ","$59,837,132 ","$62,989,834 "
14-Jan-11,The Dilemma,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$70,000,000 ","$48,475,290 ","$55,994,155 ","$70,546,865 "
23-Nov-11,Arthur Christmas,Sony Pictures,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$85,000,000 ","$46,462,469 ","$53,666,324 ","$148,168,160 "
25-Feb-11,Hall Pass,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$68,000,000 ","$45,060,734 ","$52,049,978 ","$87,173,475 "
25-Nov-11,The Artist,Weinstein Co.,Drama,Original Screenplay,Live Action,Historical Fiction,"$16,000,000 ","$44,667,095 ","$51,422,774 ","$128,113,644 "
8-Apr-11,Soul Surfer,Sony Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,"$18,000,000 ","$43,853,424 ","$50,655,405 ","$47,158,652 "
12-Aug-11,Final Destination 5,Warner Bros.,Horror,Original Screenplay,Live Action,Fantasy,"$40,000,000 ","$42,587,643 ","$49,193,295 ","$155,011,165 "
7-Oct-11,The Ides of March,Sony Pictures,Drama,Based on Play,Live Action,Contemporary Fiction,"$23,000,000 ","$40,962,534 ","$47,315,513 ","$77,735,925 "
8-Apr-11,Hanna,Focus Features,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","$40,259,119 ","$46,503,589 ","$65,343,694 "
6-May-11,Something Borrowed,Warner Bros.,Romantic Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$35,000,000 ","$39,046,489 ","$45,102,878 ","$65,084,116 "
19-Aug-11,Spy Kids: All the Time in the World,Weinstein/Dimension,Adventure,Original Screenplay,Live Action,Kids Fiction,"$27,000,000 ","$38,536,376 ","$44,513,643 ","$80,681,183 "
15-Apr-11,Scream 4,Weinstein/Dimension,Horror,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$38,180,928 ","$44,103,064 ","$95,989,590 "
18-Feb-11,"Big Mommas: Like Father, Like Son",20th Century Fox,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$32,000,000 ","$37,915,414 ","$43,796,369 ","$82,332,450 "
11-Mar-11,Red Riding Hood,Warner Bros.,Thriller/Suspense,Based on Folk Tale/Legend/Fairytale,Live Action,Fantasy,"$42,000,000 ","$37,662,162 ","$43,503,835 ","$91,678,442 "
28-Oct-11,In Time,20th Century Fox,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,"$35,000,000 ","$37,553,932 ","$43,376,731 ","$165,103,952 "
18-Mar-11,Paul,Universal,Comedy,Original Screenplay,Live Action,Science Fiction,"$40,000,000 ","$37,412,945 ","$43,215,964 ","$101,162,106 "
9-Nov-11,J. Edgar,Warner Bros.,Drama,Based on Real Life Events,Live Action,Dramatization,"$35,000,000 ","$37,306,030 ","$43,089,611 ","$84,606,030 "
4-Feb-11,The Roommate,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$16,000,000 ","$37,300,107 ","$43,085,617 ","$52,545,707 "
6-May-11,Jumping the Broom,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$7,000,000 ","$37,295,394 ","$43,080,176 ","$38,158,601 "
5-Aug-11,The Change-Up,Universal,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$52,000,000 ","$37,243,418 ","$43,020,142 ","$75,997,067 "
12-Aug-11,30 Minutes or Less,Sony Pictures,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$28,000,000 ","$37,053,924 ","$42,801,245 ","$41,146,935 "
26-Aug-11,Colombiana,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,"$40,000,000 ","$36,665,854 ","$42,352,991 ","$72,295,262 "
25-Mar-11,Sucker Punch,Warner Bros.,Action,Original Screenplay,Live Action,Fantasy,"$75,000,000 ","$36,392,502 ","$42,037,237 ","$89,758,389 "
1-Jul-11,Larry Crowne,Universal,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$30,000,000 ","$35,608,245 ","$41,131,340 ","$61,449,135 "
4-Nov-11,A Very Harold & Kumar 3D Christmas,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$20,000,000 ","$35,061,031 ","$40,498,659 ","$36,265,745 "
16-Sep-11,Drive,FilmDistrict,Action,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,"$15,000,000 ","$35,060,689 ","$40,497,853 ","$81,357,930 "
30-Sep-11,50/50,Summit Entertainment,Black Comedy,Based on Real Life Events,Live Action,Contemporary Fiction,"$8,000,000 ","$35,016,118 ","$40,447,363 ","$41,334,735 "
30-Sep-11,Courageous,Sony Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,"$2,000,000 ","$34,522,221 ","$39,874,744 ","$35,185,884 "
28-Jan-11,The Rite,Warner Bros.,Horror,Based on Factual Book/Article,Live Action,Dramatization,"$37,000,000 ","$33,047,633 ","$38,173,558 ","$97,143,987 "
8-Apr-11,Arthur,Warner Bros.,Romantic Comedy,Remake,Live Action,Contemporary Fiction,"$40,000,000 ","$33,035,397 ","$38,159,424 ","$47,787,943 "
25-Dec-11,Extremely Loud and Incredibly Close,Warner Bros.,Drama,Based on Fiction Book/Short Story,Live Action,Historical Fiction,"$40,000,000 ","$31,847,881 ","$36,650,598 ","$55,247,881 "
31-Aug-11,The Debt,Focus Features,Thriller/Suspense,Remake,Live Action,Historical Fiction,"$20,000,000 ","$31,177,548 ","$36,013,401 ","$46,604,054 "
9-Dec-11,The Sitter,20th Century Fox,Black Comedy,Original Screenplay,Live Action,Contemporary Fiction,"$25,000,000 ","$30,542,576 ","$35,263,728 ","$38,749,404 "
13-May-11,Priest,Sony Pictures,Horror,Based on Comic/Graphic Novel,Live Action,Fantasy,"$60,000,000 ","$29,136,626 ","$33,655,919 ","$84,154,026 "
28-Jan-11,The Mechanic,CBS Films,Action,Remake,Live Action,Contemporary Fiction,"$42,500,000 ","$29,121,498 ","$33,638,451 ","$76,347,393 "
18-Jun-10,Toy Story 3,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,"$200,000,000 ","$415,004,880 ","$481,805,411 ","$1,068,879,522 "
5-Mar-10,Alice in Wonderland,Walt Disney,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$200,000,000 ","$334,191,110 ","$387,983,589 ","$1,025,491,110 "
7-May-10,Iron Man 2,Paramount Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,"$170,000,000 ","$312,433,331 ","$362,723,616 ","$621,156,389 "
30-Jun-10,The Twilight Saga: Eclipse,Summit Entertainment,Drama,Based on Fiction Book/Short Story,Live Action,Fantasy,"$68,000,000 ","$300,531,751 ","$348,906,314 ","$706,102,828 "
19-Nov-10,Harry Potter and the Deathly Hallows:…,Warner Bros.,Adventure,Based on Fiction Book/Short Story,Animation/Live Action,Fantasy,"$125,000,000 ","$296,131,568 ","$343,552,835 ","$955,371,891 "
